type,director,cast,country,release_year,rating,duration,listed_in,duration_value,duration_type
movie,dan forrer,gene simmons,united states,2012,tv-14,83 min,"documentaries, music & musicals",83.0,min
movie,dan krauss,unknown,united states,2016,tv-pg,25 min,documentaries,25.0,min
movie,unknown,jandino asporaat,united kingdom,2016,tv-ma,94 min,stand-up comedy,94.0,min
tv show,unknown,unknown,unknown,2016,tv-14,1 Season,docuseries,1.0,season
tv show,unknown,"mark hamill, keith david, wendie malick, josh keaton, mikey kelley, phil lamarr, laraine newman, jess harnell, charles adler, amy margolis, cree summer, lacey chabert, rolonda watts, kevin michael richardson, candi milo",united states,2016,tv-y7,1 Season,kids' tv,1.0,season
tv show,unknown,mark bazeley,united kingdom,2015,tv-14,1 Season,"british tv shows, docuseries",1.0,season
tv show,unknown,"jaime winstone, andy nyman, kevin eldon, davina mccall, warren brown, riz ahmed, beth cordingly, kathleen mcdermott, raj ghatak",united kingdom,2008,tv-ma,1 Season,"british tv shows, tv horror, tv thrillers",1.0,season
tv show,unknown,peter thomas,united states,2011,tv-ma,9 Seasons,"crime tv shows, docuseries, science & nature tv",9.0,season
movie,unknown,unknown,united kingdom,2016,tv-14,52 min,documentaries,52.0,min
tv show,unknown,"sonia sui, james wen, amanda chu, chris wang, karen ying-chen hu, patrick lee, janel tsai, li-li pan, fu lei",taiwan,2010,tv-ma,1 Season,"international tv shows, romantic tv shows, tv dramas",1.0,season
tv show,unknown,suzannah lipscomb,united kingdom,2015,tv-14,1 Season,"british tv shows, crime tv shows, docuseries",1.0,season
tv show,unknown,"laura bailey, kate higgins, alex cazares, colleen o'shaughnessey, danielle nicole, debi derryberry, mary elizabeth mcglynn, patrick seitz, keith silverstein",japan,2016,tv-y7,2 Seasons,"anime series, kids' tv",2.0,season
movie,jay karas,"jeff foxworthy, larry the cable guy",united states,2016,tv-14,75 min,stand-up comedy,75.0,min
movie,christopher louie,"sarah hyland, graham phillips, chris d'elia, hayley kiyoko, brett delbuono, ryan hansen, ian anthony dale, ione skye, colin woodell, lamonica garrett, brianne howey",united states,2016,tv-ma,92 min,"dramas, music & musicals",92.0,min
movie,justin krook,steve aoki,united states,2016,tv-ma,80 min,"documentaries, music & musicals",80.0,min
tv show,unknown,unknown,united states,2001,tv-14,1 Season,"british tv shows, docuseries",1.0,season
tv show,unknown,nick wallis,united kingdom,2015,tv-ma,3 Seasons,"british tv shows, crime tv shows, docuseries",3.0,season
movie,louis c.k.,louis c.k.,united states,2015,66 min,Unknown,movies,,unknown
movie,unknown,unknown,united kingdom,2010,tv-14,46 min,documentaries,46.0,min
movie,michael drumm,jim gaffigan,united states,2005,tv-14,72 min,stand-up comedy,72.0,min
movie,troy miller,jim gaffigan,united states,2009,tv-pg,71 min,stand-up comedy,71.0,min
movie,jay karas,jim gaffigan,united states,2012,tv-14,77 min,stand-up comedy,77.0,min
movie,jay chapman,jim gaffigan,united states,2014,tv-14,70 min,stand-up comedy,70.0,min
movie,alex coletti,david cross,united states,2016,tv-ma,73 min,stand-up comedy,73.0,min
movie,michael drumm,lavell crawford,united states,2011,tv-ma,81 min,stand-up comedy,81.0,min
movie,john smithson,unknown,united kingdom,1994,tv-ma,63 min,documentaries,63.0,min
tv show,unknown,unknown,united kingdom,2005,tv-14,1 Season,"british tv shows, crime tv shows, docuseries",1.0,season
tv show,unknown,unknown,united kingdom,2008,tv-g,1 Season,"british tv shows, docuseries, science & nature tv",1.0,season
movie,christopher martin,arthur shawcross,united states,2008,tv-ma,45 min,documentaries,45.0,min
tv show,unknown,"nerea camacho, orián suárez, miguel de miguel, modesto lacen, norma martínez, ricardo vesga, viña machado, andrés suárez, natasha klauss, miroslava morales",colombia,2016,tv-ma,1 Season,"international tv shows, spanish-language tv shows, tv dramas",1.0,season
movie,tom whitter,forbes kb,united kingdom,2008,tv-14,46 min,documentaries,46.0,min
tv show,unknown,"nolan balzer, paolo bryant, jacqui fox, quinn greene, geoff hughes, cory hunter, william jordan, corny rempel, michael strickland",united states,2016,tv-y7,2 Seasons,kids' tv,2.0,season
movie,sian heder,"ellen page, allison janney, tammy blanchard, evan jonigkeit, uzo aduba, john benjamin hickey, david zayas, zachary quinto, fredric lehne",united states,2016,tv-ma,112 min,"dramas, independent movies",112.0,min
tv show,unknown,"erin fitzgerald, wendee lee, cassandra morris, cindy robinson, reba buhr, ben diskin, ezra weisz, karen strassman","united states, france",2016,tv-y,3 Seasons,kids' tv,3.0,season
movie,karl mueller,"fran kranz, adam goldberg, nicky whelan, luis gerardo méndez, harry hamlin, pat healy, kat foster, andrew j. west, eric ladin, steve agee",united states,2016,tv-ma,101 min,"dramas, thrillers",101.0,min
movie,joe berlinger,tony robbins,united states,2016,tv-ma,117 min,documentaries,117.0,min
movie,allan ungar,"dominic purcell, cody hackman, stephen lang, trish stratus, danny glover, vinnie jones, saul rubinek, richard gunn, steve byers, james a. woods",canada,2015,r,114 min,action & adventure,114.0,min
movie,qaushiq mukherjee,"shashank arora, tanmay dhanania, chaitanya varad, vaishwath shankar, sindhu sreenivasa murthy, sid mallya, denzil smith","india, united kingdom",2016,tv-ma,96 min,"comedies, independent movies, international movies",96.0,min
tv show,tensai okamura,"yohei azakami, m・a・o, reina ueda, asami seto, kaito ishikawa, yusuke kobayashi, shunsuke takeuchi, manami sugihira, momo asakura, kanako tojo, ryohei kimura, hikaru ueda, taiten kusunoki",japan,2016,tv-14,2 Seasons,"anime series, international tv shows",2.0,season
movie,ryan polito,jim jefferies,united states,2016,tv-ma,87 min,stand-up comedy,87.0,min
tv show,unknown,"lorenzo richelmy, benedict wong, chin han, joan chen, michelle yeoh, rick yune, claudia kim, remy hii, zhu zhu, tom wu, mahesh jadu, olivia cheng, uli latukefu, pierfrancesco favino, jacqueline chan, leonard wu, gabriel byrne",united states,2016,tv-ma,2 Seasons,"tv action & adventure, tv dramas",2.0,season
movie,"hemant gaba, pratim d. gupta, sudhish kamath, nalan kumarasamy, anu menon, sandeep mohan, qaushiq mukherjee, rajshree ojha, raja sen, abhinav shiv tiwari, suparn verma","anshuman jha, rajat kapoor, pooja ruparel, piaa bajpai, huma qureshi, usha uthup, radhika apte, swara bhaskar",india,2015,tv-ma,105 min,"dramas, independent movies, international movies",105.0,min
tv show,unknown,"drew davis, scott mccord, jenna warren",unknown,2016,tv-y,1 Season,kids' tv,1.0,season
movie,"raúl campos, jan suter",sofía niño de rivera,mexico,2016,tv-ma,80 min,stand-up comedy,80.0,min
movie,rob burnett,"paul rudd, craig roberts, selena gomez, jennifer ehle, megan ferguson, frederick weller, bobby cannavale",united states,2016,tv-ma,97 min,"comedies, dramas, independent movies",97.0,min
movie,wilson yip,"donnie yen, zhang jin, lynn hung, patrick tam, karena ng, kent cheng, bryan leung, louis cheung, danny chan, mike tyson, babyjohn choi","china, hong kong",2015,pg-13,105 min,"action & adventure, dramas, international movies",105.0,min
movie,"bo burnham, christopher storer",bo burnham,united states,2016,tv-ma,60 min,"music & musicals, stand-up comedy",60.0,min
tv show,unknown,"kento hayashi, kazuki namioka, mugi kadowaki, masao yoshii, hideaki murata, nahana, sayaka yamamoto, shota sometani, tomorowo taguchi, kaoru kobayashi",japan,2016,tv-ma,1 Season,"international tv shows, tv dramas",1.0,season
tv show,unknown,unknown,australia,2016,tv-pg,1 Season,"docuseries, international tv shows, science & nature tv",1.0,season
tv show,unknown,mitch ryan,australia,2016,tv-pg,1 Season,"docuseries, international tv shows, science & nature tv",1.0,season
movie,steven brill,"adam sandler, david spade, paula patton, kathryn hahn, nick swardson, catherine bell, michael chiklis, natasha leggero, sean astin",united states,2016,tv-ma,109 min,"action & adventure, comedies",109.0,min
movie,jay karas,ali wong,united states,2016,tv-ma,60 min,stand-up comedy,60.0,min
movie,ricky gervais,"eric bana, ricky gervais, vera farmiga, kelly macdonald, kevin pollak, america ferrera, raúl castillo, benjamin bratt","canada, united kingdom, united states",2016,tv-ma,101 min,comedies,101.0,min
movie,jon greenhalgh,unknown,united states,2016,tv-ma,91 min,"documentaries, sports movies",91.0,min
movie,unknown,patton oswalt,united states,2016,tv-ma,66 min,stand-up comedy,66.0,min
movie,"felix van groeningen, felix van groeningen","stef aerts, tom vermeir, charlotte vandermeersch, hélène devos, boris van severen, sara de bosschere, dominique van malder, sam louwyck, stefaan de winter, silvanus saow","belgium, france, netherlands",2016,tv-ma,127 min,"dramas, international movies",127.0,min
movie,mike flanagan,"john gallagher jr., kate siegel, michael trucco, samantha sloyan, emma graves",united states,2016,r,82 min,"horror movies, thrillers",82.0,min
tv show,unknown,"jun fukuyama, shintaro asanuma, haruka shiraishi, tomoaki maeno, m・a・o, hiroki touchi, takeshi koyama, yu mizushima, hozumi goda, ayumu okamura, saori hayami, satoshi hino, johnny yong bosch, bryce papenbrook, christine marie cabanos, spike spencer, stephanie sheh, michael sinterniklaas, keith silverstein, joey lotsko, tony azzolino, steve staley, cristina vee, christopher corey smith","japan, united states",2015,tv-ma,1 Season,"anime series, international tv shows",1.0,season
movie,g.j. echternkamp,unknown,united states,2007,tv-ma,70 min,"documentaries, music & musicals",70.0,min
tv show,unknown,"gage munroe, scott mccord, jenna warren",canada,2012,tv-y,2 Seasons,kids' tv,2.0,season
tv show,unknown,"you, reina triendl, ryota yamasato, yoshimi tokui, azusa babazono, ayumu mochizuki, kentaro",japan,2016,tv-14,2 Seasons,"international tv shows, reality tv",2.0,season
movie,rodolphe guenoden,"jack black, dustin hoffman, seth rogen, david cross, lucy liu, tara macri, james hong, randall duk kim",united states,2016,tv-pg,23 min,"children & family movies, comedies",23.0,min
movie,jason krawczyk,"henry rollins, booboo stewart, kate greenhouse, jordan todosey, david richmond-peck, james cade, don francks, steven ogg",canada,2015,r,97 min,"comedies, horror movies",97.0,min
movie,sam wrench,jimmy carr,united kingdom,2016,tv-ma,62 min,stand-up comedy,62.0,min
movie,"sophie robinson, lotje sodderland","sophie robinson, lotje sodderland",united kingdom,2016,tv-14,84 min,"documentaries, international movies",84.0,min
movie,john lee,"paul reubens, joe manganiello, jessica pohly, alia shawkat, stephanie beatriz, brad william henke, hal landon jr., diane salinger, patrick egan, tara buck, richard riehle",united states,2016,tv-pg,90 min,"children & family movies, comedies, cult movies",90.0,min
tv show,unknown,"lauren lapkus, john early, henry zebrowski, kate berlant, natasha rothwell, paul w. downs, tim robinson, dr. brown",united states,2016,tv-ma,1 Season,tv comedies,1.0,season
tv show,unknown,"natsuki hanae, risa taneda, ayane sakura, ryota osaka, saori hayami, yuki kaji",japan,2014,tv-14,1 Season,"anime series, international tv shows, romantic tv shows",1.0,season
movie,yuen wo-ping,"michelle yeoh, donnie yen, harry shum jr., natasha liu bordizzo, jason scott lee, eugenia yuan, roger yuan, juju chan, chris pang, woon young park, darryl quon","china, united states",2016,pg-13,101 min,"action & adventure, romantic movies",101.0,min
movie,mitch schauer,"mick wingert, matthew mercer, travis willingham, fred tatasciore, grey delisle, troy baker, antony del rio, trevor devall, kevin michael richardson, steve blum, jane singer",united states,2015,pg,74 min,"children & family movies, sci-fi & fantasy",74.0,min
tv show,unknown,michael pollan,united states,2016,tv-14,1 Season,docuseries,1.0,season
tv show,unknown,"michael sinterniklaas, michaela dean, doug erholtz, braeden fox, olivia hack, david lodge, nayo wallace, ryan wiesbrock",united states,2016,tv-y,2 Seasons,kids' tv,2.0,season
movie,lance bangs,hannibal buress,united states,2016,tv-ma,68 min,stand-up comedy,68.0,min
tv show,unknown,"reid scott, john eric bentley, amir talai, phil lamarr, grey delisle, michael patrick bell, eric bauza",united states,2016,tv-y7,3 Seasons,kids' tv,3.0,season
tv show,unknown,unknown,unknown,2012,tv-y,1 Season,kids' tv,1.0,season
tv show,unknown,chelsea handler,united states,2016,tv-ma,1 Season,"docuseries, science & nature tv",1.0,season
movie,"raúl campos, jan suter",ricardo o'farrill,mexico,2016,tv-ma,92 min,stand-up comedy,92.0,min
movie,wilson yip,"donnie yen, simon yam, louis fan, lam ka tung, xing yu, wong you-nam, chen zhi hui, lynn hung, hiroyuki ikeuchi","hong kong, china",2008,r,107 min,"action & adventure, dramas, international movies",107.0,min
movie,wilson yip,"donnie yen, sammo kam-bo hung, huang xiaoming, simon yam, lynn hung, kanin ngo, kent cheng, darren shahlavi, louis fan, calvin ka-sing cheng","hong kong, china",2010,r,108 min,"action & adventure, international movies",108.0,min
movie,jay karas,tom segura,united states,2016,tv-ma,74 min,stand-up comedy,74.0,min
movie,alik sakharov,"tom wu, benedict wong, michelle yeoh",united states,2015,tv-ma,29 min,movies,29.0,min
tv show,unknown,unknown,france,2014,tv-y,1 Season,"kids' tv, tv comedies",1.0,season
movie,l. frazier,mike epps,united states,2015,tv-ma,60 min,stand-up comedy,60.0,min
movie,frank coraci,"adam sandler, terry crews, jorge garcia, taylor lautner, rob schneider, luke wilson, will forte, steve zahn, harvey keitel, nick nolte, jon lovitz, whitney cummings, david spade, danny trejo, nick swardson, blake shelton, vanilla ice, julia jones, saginaw grant, lavell crawford, steve buscemi",united states,2015,tv-14,120 min,"action & adventure, comedies",120.0,min
movie,"gary howsam, mike smith, john paul tremblay, robb wells","mike smith, john paul tremblay, robb wells, john dunsworth, pat roach, tom green, verne troyer, jonathan torrens",canada,2015,tv-ma,74 min,"comedies, international movies",74.0,min
movie,sofia coppola,"bill murray, miley cyrus, george clooney, chris rock, amy poehler, michael cera, maya rudolph, rashida jones, jason schwartzman, paul shaffer, jenny lewis, phoenix",united states,2015,tv-14,57 min,"comedies, music & musicals",57.0,min
tv show,unknown,"mirei kiritani, mao daichi, wakana sakai, masako chiba, maiko, ken kaito, dori sakurada, nicole ishida, mayuko kawakita",japan,2015,tv-pg,1 Season,"international tv shows, tv dramas",1.0,season
movie,kristin hanggi,"victoria justice, pierson fode, matthew daddario, ryan ward, griffin newman, monique coleman, danny flaherty",united states,2015,tv-ma,91 min,"comedies, dramas, lgbtq movies",91.0,min
movie,rhys thomas,john mulaney,united states,2015,tv-ma,62 min,stand-up comedy,62.0,min
tv show,unknown,"david cross, bob odenkirk, john ennis, jay johnston, brian posehn, jill talley, paul f. tompkins, tom kenny, brett paesel",united states,2015,tv-ma,1 Season,tv comedies,1.0,season
movie,j. davis,"jay duplass, linas phillips, leonora pitts, adam chernick, davie-blue, suzanne ford, tobin bell",united states,2015,tv-ma,85 min,"comedies, dramas, independent movies",85.0,min
movie,"chris buck, jennifer lee, patrick osborne, lauren macmullan, john kahrs, nathan greno, byron howard, stevie wermers, dean wellins, kevin deters, roger allers, mike gabriel, mark henn","kristen bell, josh gad, jonathan groff, idina menzel, geoffrey jones, alfre woodard, carrie harrington, tim hodge, david murray, sarah chalke, dave foley, derek richardson, betty white, zachary levi, mandy moore",united states,2015,tv-y,90 min,children & family movies,90.0,min
